Amplification,Day,Sex
0.089 ,1,Pool
0.048 ,1,Pool
0.066 ,1,Pool
0.058 ,2,Pool
0.077 ,2,Pool
0.044 ,2,Pool
0.012 ,4,Pool
0.126 ,4,Pool
0.040 ,4,Pool
0.060 ,7,Pool
0.054 ,7,Pool
0.082 ,7,Pool
0.022 ,11,Pool
0.036 ,11,Pool
0.082 ,11,Pool
0.031 ,14,Pool
0.032 ,14,Pool
0.106 ,14,Pool
0.000 ,21,Pool
0.016 ,21,Pool
0.045 ,21,Pool
0.191 ,25,Pool
0.105 ,25,Pool
0.000 ,25,Pool
1.852 ,28,Pool
1.574 ,28,Pool
3.340 ,28,Pool
3.257 ,28,Pool
8.383 ,28,Pool
1.874 ,35,Female
0.210 ,35,Female
0.126 ,35,Female
0.032 ,35,Male
0.042 ,35,Male
0.047 ,35,Male
22.465 ,40,Female
6.008 ,40,Female
13.479 ,40,Female
0.219 ,40,Male
6.586 ,40,Male
0.259 ,40,Male
2.827 ,45,Female
6.339 ,45,Female
1.945 ,45,Female
0.551 ,45,Male
0.015 ,45,Male
0.033 ,45,Male
0.819 ,50,Female
4.676 ,50,Female
0.016 ,50,Female
0.031 ,50,Male
0.042 ,50,Male
0.782 ,50,Male
0.166 ,61,Female
0.160 ,61,Female
0.261 ,61,Female
0.071 ,61,Male
0.031 ,61,Male
0.060 ,61,Male
