Sample,Group,Reads_number,Unique_best_hit,Mapping_efficiency,No_alignments,Total_Cs,Total_CsM_CpG,Total_CsM_CHG,Total_CsM_CHH,Total_CsM_UNKNOWN,Total_CsU_CpG,CsM_CpG,CsM_CHG,CsM_CHH,CsM_UNKNOWN
sampling_70_8_trimmed.fastq,100,56,34,60.70%,8,500,67,0,2,0,16,80.70%,0.00%,0.70%,
sampling_70_936_trimmed.fastq,100,57,38,66.70%,3,624,81,2,3,0,12,87.10%,1.20%,0.80%,
sampling_70_600_trimmed.fastq,100,58,35,60.30%,8,613,85,3,6,0,12,87.60%,1.80%,1.70%,
sampling_70_658_trimmed.fastq,100,58,32,55.20%,13,493,52,2,1,0,7,88.10%,1.50%,0.30%,
sampling_70_6_trimmed.fastq,100,58,36,62.10%,11,640,86,1,7,0,22,79.60%,0.60%,1.90%,
sampling_70_817_trimmed.fastq,100,58,39,67.20%,7,658,77,0,4,0,21,78.60%,0.00%,1.00%,
sampling_70_829_trimmed.fastq,100,58,32,55.20%,14,561,81,0,2,0,12,87.10%,0.00%,0.60%,
sampling_70_202_trimmed.fastq,100,59,35,59.30%,11,635,71,0,1,0,16,81.60%,0.00%,0.30%,
sampling_70_284_trimmed.fastq,100,59,36,61.00%,11,539,51,0,1,0,33,60.70%,0.00%,0.30%,
sampling_70_296_trimmed.fastq,100,59,31,52.50%,12,518,46,1,4,0,7,86.80%,0.80%,1.20%,
sampling_70_45_trimmed.fastq,100,59,38,64.40%,6,589,73,1,0,0,14,83.90%,0.60%,0.00%,
sampling_70_622_trimmed.fastq,100,59,41,69.50%,7,621,89,0,1,0,14,86.40%,0.00%,0.30%,
sampling_70_696_trimmed.fastq,100,59,41,69.50%,7,649,72,3,1,0,20,78.30%,1.60%,0.30%,
sampling_70_757_trimmed.fastq,100,59,44,74.60%,6,724,84,0,3,0,14,85.70%,0.00%,0.70%,
sampling_70_771_trimmed.fastq,100,59,40,67.80%,8,605,78,3,2,0,29,72.90%,1.80%,0.60%,
sampling_70_777_trimmed.fastq,100,59,34,57.60%,12,547,57,0,4,0,30,65.50%,0.00%,1.20%,
sampling_70_862_trimmed.fastq,100,59,38,64.40%,8,564,77,2,5,0,2,97.50%,1.40%,1.50%,
sampling_70_883_trimmed.fastq,100,59,34,57.60%,9,492,68,1,2,0,13,84.00%,0.80%,0.70%,
sampling_70_959_trimmed.fastq,100,59,29,49.20%,16,496,69,1,1,0,18,79.30%,0.70%,0.40%,
sampling_70_994_trimmed.fastq,100,59,35,59.30%,14,568,90,2,2,0,5,94.70%,1.30%,0.60%,
sampling_70_118_trimmed.fastq,100,60,37,61.70%,10,605,72,2,1,0,24,75.00%,1.20%,0.30%,
sampling_70_171_trimmed.fastq,100,60,41,68.30%,7,705,86,2,2,0,24,78.20%,1.10%,0.50%,
sampling_70_189_trimmed.fastq,100,60,41,68.30%,8,667,57,1,2,0,44,56.40%,0.50%,0.50%,
sampling_70_191_trimmed.fastq,100,60,40,66.70%,11,623,72,1,3,0,28,72.00%,0.60%,0.90%,
sampling_70_211_trimmed.fastq,100,60,42,70.00%,6,651,74,2,4,0,15,83.10%,1.00%,1.10%,0.00%
sampling_70_216_trimmed.fastq,100,60,39,65.00%,11,624,63,0,2,0,20,75.90%,0.00%,0.50%,
sampling_70_250_trimmed.fastq,100,60,36,60.00%,8,526,69,0,3,0,15,82.10%,0.00%,1.00%,
sampling_70_253_trimmed.fastq,100,60,37,61.70%,11,657,82,2,0,0,25,76.60%,1.30%,0.00%,
sampling_70_268_trimmed.fastq,100,60,37,61.70%,13,563,45,2,1,0,13,77.60%,1.20%,0.30%,0.00%
sampling_70_353_trimmed.fastq,100,60,41,68.30%,8,670,110,1,0,0,11,90.90%,0.50%,0.00%,
sampling_70_357_trimmed.fastq,100,60,34,56.70%,14,593,64,1,3,0,27,70.30%,0.60%,0.90%,
sampling_70_400_trimmed.fastq,100,60,33,55.00%,10,498,72,2,5,0,7,91.10%,1.60%,1.70%,
sampling_70_604_trimmed.fastq,100,60,37,61.70%,14,575,79,1,2,0,21,79.00%,0.60%,0.60%,
sampling_70_709_trimmed.fastq,100,60,35,58.30%,7,609,79,1,2,0,11,87.80%,0.60%,0.60%,
sampling_70_759_trimmed.fastq,100,60,37,61.70%,12,626,65,2,8,0,24,73.00%,1.10%,2.30%,
sampling_70_825_trimmed.fastq,100,60,38,63.30%,10,603,74,1,1,0,5,93.70%,0.50%,0.30%,
sampling_70_874_trimmed.fastq,100,60,35,58.30%,6,617,82,0,1,0,11,88.20%,0.00%,0.30%,
sampling_70_887_trimmed.fastq,100,60,37,61.70%,10,560,73,1,5,0,4,94.80%,0.60%,1.60%,
sampling_70_908_trimmed.fastq,100,60,32,53.30%,12,572,90,0,0,0,12,88.20%,0.00%,0.00%,
sampling_70_914_trimmed.fastq,100,60,38,63.30%,12,637,68,0,2,0,28,70.80%,0.00%,0.50%,
sampling_70_919_trimmed.fastq,100,60,36,60.00%,13,585,63,4,0,0,15,80.80%,2.50%,0.00%,
