Sample,Group,Reads_number,Unique_best_hit,Mapping_efficiency,No_alignments,Total_Cs,Total_CsM_CpG,Total_CsM_CHG,Total_CsM_CHH,Total_CsM_UNKNOWN,Total_CsU_CpG,CsM_CpG,CsM_CHG,CsM_CHH,CsM_UNKNOWN
sampling_63_172_trimmed.fastq,100,57,40,70.20%,8,522,106,0,8,0,4,96.40%,0.00%,2.90%,
sampling_63_295_trimmed.fastq,100,57,34,59.60%,10,404,62,2,5,0,6,91.20%,1.40%,2.60%,
sampling_63_39_trimmed.fastq,100,57,30,52.60%,14,367,54,1,1,0,1,98.20%,0.80%,0.50%,
sampling_63_42_trimmed.fastq,100,57,32,56.10%,8,444,80,0,1,0,4,95.20%,0.00%,0.40%,
sampling_63_509_trimmed.fastq,100,57,35,61.40%,9,403,78,2,0,0,3,96.30%,1.60%,0.00%,
sampling_63_932_trimmed.fastq,100,57,34,59.60%,11,408,78,1,1,0,1,98.70%,0.90%,0.50%,
sampling_63_176_trimmed.fastq,100,58,41,70.70%,7,463,94,1,0,0,2,97.90%,0.80%,0.00%,
sampling_63_183_trimmed.fastq,100,58,35,60.30%,10,436,91,0,1,0,4,95.80%,0.00%,0.50%,
sampling_63_194_trimmed.fastq,100,58,37,63.80%,13,526,102,3,18,0,1,99.00%,2.30%,6.20%,
sampling_63_207_trimmed.fastq,100,58,33,56.90%,12,417,82,0,1,0,4,95.30%,0.00%,0.50%,
sampling_63_222_trimmed.fastq,100,58,33,56.90%,10,448,79,0,0,0,1,98.80%,0.00%,0.00%,
sampling_63_258_trimmed.fastq,100,58,40,69.00%,8,500,97,2,2,0,4,96.00%,1.30%,0.80%,
sampling_63_329_trimmed.fastq,100,58,43,74.10%,7,583,109,6,23,0,5,95.60%,3.70%,7.50%,
sampling_63_352_trimmed.fastq,100,58,39,67.20%,9,498,101,1,1,0,4,96.20%,0.60%,0.40%,
sampling_63_476_trimmed.fastq,100,58,33,56.90%,13,430,75,1,2,0,2,97.40%,0.80%,0.90%,
sampling_63_571_trimmed.fastq,100,58,36,62.10%,7,467,86,3,10,0,4,95.60%,2.50%,3.90%,0.00%
sampling_63_740_trimmed.fastq,100,58,33,56.90%,8,416,86,0,5,0,4,95.60%,0.00%,2.50%,
sampling_63_868_trimmed.fastq,100,58,32,55.20%,12,392,69,3,8,0,6,92.00%,2.60%,3.90%,
sampling_63_128_trimmed.fastq,100,59,40,67.80%,9,583,101,1,10,0,6,94.40%,0.60%,3.20%,
sampling_63_137_trimmed.fastq,100,59,41,69.50%,9,494,99,2,10,0,5,95.20%,1.40%,4.10%,
sampling_63_14_trimmed.fastq,100,59,40,67.80%,9,489,109,1,5,0,2,98.20%,0.70%,2.20%,
sampling_63_162_trimmed.fastq,100,59,36,61.00%,8,469,79,0,2,0,5,94.00%,0.00%,0.80%,
sampling_63_193_trimmed.fastq,100,59,40,67.80%,11,445,88,2,7,0,10,89.80%,1.40%,3.30%,
sampling_63_256_trimmed.fastq,100,59,36,61.00%,8,451,83,3,3,0,4,95.40%,2.10%,1.40%,
sampling_63_281_trimmed.fastq,100,59,44,74.60%,6,539,87,5,2,0,2,97.80%,3.20%,0.70%,
