Order,DataStore,Day,type,CG_methylation_10Mb,n_reads,n_reads_fem_rDNA, per_reads_fem_rDNA ,n_calls,n_calls_fem_rDNA,met_rDNA,sex,Label,repeated,,non_repeated
1,Zf_01d_Control_A,1,control, 80.89 ,3552,1,0.02815,10230,17,88.23529,pool,Control,88.07050093,,73.06655609
2,Zf_01d_Control_B,1,control, 80.03 ,7726,2,0.02589,22081,29,44.82759,pool,Control,88.59752011,,72.03440095
3,Zf_01d_Control_C,1,control, 81.83 ,5182,4,0.07719,14137,50,56,pool,Control,88.76447876,88.47749993,73.86417603
4,Zf_01d_PGC_A,1,egfp, 84.57 ,4423,4,0.09044,12043,62,37.09678,pool,1_25d,90.49529394,,77.4
5,Zf_01d_PGC_B,1,egfp, 85.50 ,4105,1,0.02436,11346,6,0,pool,1_25d,91.51800195,,77.34827986
6,Zf_01d_PGC_C,1,egfp, 83.18 ,4438,4,0.09013,12642,67,38.80597,pool,1_25d,89.70147122,90.57158903,75.08073197
7,Zf_02d_Control_A,2,control, 77.39 ,17643,9,0.05101,47809,116,62.06897,pool,Control,86.60133251,,67.92521827
8,Zf_02d_Control_B,2,control, 78.56 ,59360,12,0.02022,161116,166,69.87952,pool,Control,86.9476152,,69.73221494
9,Zf_02d_Control_C,2,control, 79.01 ,44785,10,0.02233,126071,94,75.53191,pool,Control,87.20339104,86.91744625,70.47875183
10,Zf_02d_PGC_A,2,egfp, 83.25 ,23611,13,0.05506,64374,149,44.96644,pool,1_25d,90.2658405,,75.42802356
11,Zf_02d_PGC_B,2,egfp, 82.94 ,3816,3,0.07862,10544,43,32.55814,pool,1_25d,89.76704055,,77.09307267
12,Zf_02d_PGC_C,2,egfp, 83.52 ,11180,5,0.04472,32405,69,53.62319,pool,1_25d,90.69806094,90.24364733,75.78048439
13,Zf_04d_Control_A,4,control, 76.24 ,31679,15,0.04735,88465,190,72.10526,pool,Control,85.33913689,,65.88607754
14,Zf_04d_Control_B,4,control, 76.39 ,7008,2,0.02854,20266,27,44.44444,pool,Control,85.18053938,,66.8319013
15,Zf_04d_Control_C,4,control, 73.81 ,7698,6,0.07794,22665,76,60.52632,pool,Control,85.60019361,85.37328996,60.90454233
16,Zf_04d_PGC_A,4,egfp, 81.89 ,7888,1,0.01268,22364,21,52.38095,pool,1_25d,88.82725832,,72.33364188
17,Zf_04d_PGC_B,4,egfp, 82.38 ,3846,4,0.104,11472,51,50.98039,pool,1_25d,90.35032843,,73.94072011
18,Zf_04d_PGC_C,4,egfp, 77.71 ,4937,2,0.04051,14019,25,88,pool,1_25d,87.19124013,88.78960896,67.19869707
19,Zf_07d_Control_A,7,control, 74.17 ,8503,5,0.0588,23806,65,70.76923,pool,Control,85.78619367,,62.50334076
20,Zf_07d_Control_B,7,control, 75.88 ,4721,2,0.04236,12861,27,77.77778,pool,Control,86.06389215,,65.75707155
21,Zf_07d_Control_C,7,control, 75.72 ,5876,0,0,15323,0,0,pool,Control,85.20994605,85.68667729,66.14682948
22,Zf_07d_PGC_A,7,egfp, 75.64 ,4902,3,0.0612,13263,32,56.25,pool,1_25d,86.47686833,,64.3570738
23,Zf_07d_PGC_B,7,egfp, 75.41 ,9087,4,0.04402,24427,46,78.26087,pool,1_25d,86.5733826,,64.17667238
24,Zf_07d_PGC_C,7,egfp, 75.38 ,4737,3,0.06333,12597,26,80.76923,pool,1_25d,86.06581678,86.37202257,63.27896996
25,Zf_11d_Control_A,11,control, 73.67 ,3939,1,0.02539,11293,11,81.81818,pool,Control,84.75224476,,62.37661352
26,Zf_11d_Control_B,11,control, 74.76 ,5779,1,0.0173,16124,20,75,pool,Control,85.47954784,,64.61518011
27,Zf_11d_Control_C,11,control, 78.87 ,6299,3,0.04763,17317,40,80,pool,Control,87.47015468,85.90064909,68.52433281
28,Zf_11d_PGC_A,11,egfp, 83.63 ,4372,1,0.02287,12325,7,0,pool,1_25d,90.55743492,,74.7055626
29,Zf_11d_PGC_B,11,egfp, 77.33 ,16157,3,0.01857,43182,43,51.16279,pool,1_25d,86.59498208,,66.81939868
30,Zf_11d_PGC_C,11,egfp, 82.46 ,3566,2,0.05609,10014,20,45,pool,1_25d,91.03600294,89.39613998,71.51648352
31,Zf_14d_Control_A,14,control, 75.36 ,5456,2,0.03666,14394,32,68.75,pool,Control,84.78891821,,65.36419935
32,Zf_14d_Control_B,14,control, 75.19 ,9892,4,0.04044,26178,59,86.44068,pool,Control,83.60938578,,65.74941955
33,Zf_14d_Control_C,14,control, 76.20 ,10310,2,0.0194,26545,24,91.66666,pool,Control,83.88265864,84.09365421,67.93309238
34,Zf_14d_PGC_A,14,egfp, 78.20 ,3133,1,0.03192,8519,17,0,pool,1_25d,86.5615142,,69.0685882
35,Zf_14d_PGC_B,14,egfp, 75.07 ,6117,2,0.0327,16189,39,76.92308,pool,1_25d,84.33333333,,64.79194631
36,Zf_14d_PGC_C,14,egfp, 75.50 ,3711,4,0.10779,9881,49,91.83673,pool,1_25d,85.30333764,85.39939505,64.39101837
37,Zf_21d_Control_A,21,control, 75.89 ,8255,2,0.02423,24289,29,55.17241,pool,Control,87.16083068,,64.54003253
38,Zf_21d_Control_B,21,control, 74.02 ,4735,0,0,13973,0,0,pool,Control,87.2645264,,60.88578089
39,Zf_21d_Control_C,21,control, 76.91 ,18190,7,0.03848,51644,103,82.52427,pool,Control,87.09812546,87.17449418,66.05224076
40,Zf_21d_PGC_A,21,egfp, 76.41 ,4402,0,0,12370,0,0,pool,1_25d,86.53005876,,66.1608233
41,Zf_21d_PGC_B,21,egfp, 79.60 ,6077,1,0.01646,17476,18,100,pool,1_25d,88.59759949,,68.24120603
42,Zf_21d_PGC_C,21,egfp, 76.24 ,10807,2,0.01851,31114,25,52,pool,1_25d,87.88322022,87.67029283,63.35643352
43,Zf_25d_Control_A,25,control, 75.73 ,6152,4,0.06502,18180,49,79.59184,pool,Control,86.14644896,,63.07069219
44,Zf_25d_Control_B,25,control, 76.41 ,11629,7,0.06019,32630,97,84.53608,pool,Control,86.01921025,,65.24779362
45,Zf_25d_Control_C,25,control, 76.52 ,10898,7,0.06423,31796,99,86.86869,pool,Control,85.88151405,86.01572442,65.58380414
46,Zf_25d_PGC_A,25,egfp, 75.83 ,18840,26,0.138,53627,366,11.20219,pool,25_28d,86.10710644,,65.31302876
47,Zf_25d_PGC_B,25,egfp, 75.51 ,9275,9,0.09704,26360,144,25.69444,pool,25_28d,86.86839646,,63.78931968
48,Zf_25d_PGC_C,25,egfp, 77.11 ,6576,0,0,17368,0,0,pool,25_28d,85.97173869,86.3157472,65.65377532
49,Zf_28d_Control_A,28,control, 78.23 ,4235,1,0.02361,12291,10,80,pool,Control,87.82266297,,66.92477876
50,Zf_28d_Control_B,28,control, 75.84 ,10749,0,0,30143,0,0,pool,Control,86.23599043,,65.99116471
51,Zf_28d_Control_C,28,control, 75.10 ,6819,1,0.01466,19136,13,69.23077,pool,Control,87.56124388,87.20663243,62.02587152
