Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	21d_egfp	25d_egfp	28d_egfp
Chr1:1-1000000	1	1	1000000		NaN	null					Not found	0	110.0	101.0	206.0
Chr1:1000001-2000000	1	1000001	2000000		NaN	null					Not found	0	66.0	25.0	87.0
Chr1:2000001-3000000	1	2000001	3000000		NaN	null					Not found	0	32.0	54.0	133.0
Chr1:3000001-4000000	1	3000001	4000000		NaN	null					Not found	0	33.0	76.0	137.0
Chr1:4000001-5000000	1	4000001	5000000		NaN	null					Not found	0	43.0	79.0	72.0
Chr1:5000001-6000000	1	5000001	6000000		NaN	null					Not found	0	35.0	90.0	180.0
Chr1:6000001-7000000	1	6000001	7000000		NaN	null					Not found	0	32.0	92.0	84.0
Chr1:7000001-8000000	1	7000001	8000000		NaN	null					Not found	0	31.0	54.0	66.0
Chr1:8000001-9000000	1	8000001	9000000		NaN	null					Not found	0	72.0	42.0	84.0
Chr1:9000001-10000000	1	9000001	10000000		NaN	null					Not found	0	22.0	66.0	118.0
Chr1:10000001-11000000	1	10000001	11000000		NaN	null					Not found	0	34.0	62.0	78.0
Chr1:11000001-12000000	1	11000001	12000000		NaN	null					Not found	0	52.0	43.0	69.0
Chr1:12000001-13000000	1	12000001	13000000		NaN	null					Not found	0	34.0	94.0	71.0
Chr1:13000001-14000000	1	13000001	14000000		NaN	null					Not found	0	34.0	56.0	56.0
Chr1:14000001-15000000	1	14000001	15000000		NaN	null					Not found	0	30.0	59.0	68.0
Chr1:15000001-16000000	1	15000001	16000000		NaN	null					Not found	0	23.0	34.0	52.0
Chr1:16000001-17000000	1	16000001	17000000		NaN	null					Not found	0	22.0	57.0	69.0
Chr1:17000001-18000000	1	17000001	18000000		NaN	null					Not found	0	14.0	62.0	97.0
Chr1:18000001-19000000	1	18000001	19000000		NaN	null					Not found	0	49.0	91.0	59.0
Chr1:19000001-20000000	1	19000001	20000000		NaN	null					Not found	0	18.0	60.0	95.0
Chr1:20000001-21000000	1	20000001	21000000		NaN	null					Not found	0	35.0	51.0	101.0
Chr1:21000001-22000000	1	21000001	22000000		NaN	null					Not found	0	44.0	39.0	65.0
Chr1:22000001-23000000	1	22000001	23000000		NaN	null					Not found	0	34.0	78.0	88.0
Chr1:23000001-24000000	1	23000001	24000000		NaN	null					Not found	0	27.0	50.0	87.0
Chr1:24000001-25000000	1	24000001	25000000		NaN	null					Not found	0	77.0	84.0	117.0
Chr1:25000001-26000000	1	25000001	26000000		NaN	null					Not found	0	47.0	83.0	62.0
Chr1:26000001-27000000	1	26000001	27000000		NaN	null					Not found	0	95.0	116.0	93.0
Chr1:27000001-28000000	1	27000001	28000000		NaN	null					Not found	0	97.0	125.0	141.0
Chr1:28000001-29000000	1	28000001	29000000		NaN	null					Not found	0	41.0	125.0	73.0
Chr1:29000001-30000000	1	29000001	30000000		NaN	null					Not found	0	34.0	95.0	110.0
Chr1:30000001-31000000	1	30000001	31000000		NaN	null					Not found	0	23.0	78.0	101.0
Chr1:31000001-32000000	1	31000001	32000000		NaN	null					Not found	0	45.0	42.0	111.0
Chr1:32000001-33000000	1	32000001	33000000		NaN	null					Not found	0	53.0	71.0	64.0
Chr1:33000001-34000000	1	33000001	34000000		NaN	null					Not found	0	46.0	37.0	51.0
Chr1:34000001-35000000	1	34000001	35000000		NaN	null					Not found	0	43.0	46.0	98.0
Chr1:35000001-36000000	1	35000001	36000000		NaN	null					Not found	0	29.0	86.0	80.0
Chr1:36000001-37000000	1	36000001	37000000		NaN	null					Not found	0	51.0	79.0	52.0
Chr1:37000001-38000000	1	37000001	38000000		NaN	null					Not found	0	45.0	46.0	49.0
Chr1:38000001-39000000	1	38000001	39000000		NaN	null					Not found	0	48.0	83.0	54.0
Chr1:39000001-40000000	1	39000001	40000000		NaN	null					Not found	0	36.0	58.0	99.0
Chr1:40000001-41000000	1	40000001	41000000		NaN	null					Not found	0	48.0	67.0	95.0
Chr1:41000001-42000000	1	41000001	42000000		NaN	null					Not found	0	52.0	37.0	72.0
Chr1:42000001-43000000	1	42000001	43000000		NaN	null					Not found	0	59.0	63.0	71.0
Chr1:43000001-44000000	1	43000001	44000000		NaN	null					Not found	0	18.0	58.0	56.0
Chr1:44000001-45000000	1	44000001	45000000		NaN	null					Not found	0	27.0	57.0	126.0
Chr1:45000001-46000000	1	45000001	46000000		NaN	null					Not found	0	51.0	72.0	112.0
Chr1:46000001-47000000	1	46000001	47000000		NaN	null					Not found	0	52.0	69.0	109.0
Chr1:47000001-48000000	1	47000001	48000000		NaN	null					Not found	0	35.0	42.0	74.0
Chr1:48000001-49000000	1	48000001	49000000		NaN	null					Not found	0	23.0	46.0	102.0
Chr1:49000001-50000000	1	49000001	50000000		NaN	null					Not found	0	21.0	70.0	112.0
Chr1:50000001-51000000	1	50000001	51000000		NaN	null					Not found	0	34.0	90.0	113.0
Chr1:51000001-52000000	1	51000001	52000000		NaN	null					Not found	0	50.0	82.0	84.0
Chr1:52000001-53000000	1	52000001	53000000		NaN	null					Not found	0	57.0	56.0	147.0
Chr1:53000001-54000000	1	53000001	54000000		NaN	null					Not found	0	67.0	81.0	143.0
Chr1:54000001-55000000	1	54000001	55000000		NaN	null					Not found	0	84.0	95.0	74.0
Chr1:55000001-56000000	1	55000001	56000000		NaN	null					Not found	0	64.0	69.0	104.0
Chr1:56000001-57000000	1	56000001	57000000		NaN	null					Not found	0	16.0	35.0	88.0
Chr1:57000001-58000000	1	57000001	58000000		NaN	null					Not found	0	61.0	82.0	96.0
Chr1:58000001-58871917	1	58000001	58871917		NaN	null					Not found	0	94.0	106.0	168.0
Chr2:1-1000000	2	1	1000000		NaN	null					Not found	0	87.0	134.0	99.0
Chr2:1000001-2000000	2	1000001	2000000		NaN	null					Not found	0	88.0	73.0	163.0
Chr2:2000001-3000000	2	2000001	3000000		NaN	null					Not found	0	61.0	54.0	177.0
Chr2:3000001-4000000	2	3000001	4000000		NaN	null					Not found	0	58.0	82.0	119.0
Chr2:4000001-5000000	2	4000001	5000000		NaN	null					Not found	0	85.0	84.0	106.0
Chr2:5000001-6000000	2	5000001	6000000		NaN	null					Not found	0	52.0	90.0	105.0
Chr2:6000001-7000000	2	6000001	7000000		NaN	null					Not found	0	48.0	48.0	86.0
Chr2:7000001-8000000	2	7000001	8000000		NaN	null					Not found	0	20.0	94.0	74.0
Chr2:8000001-9000000	2	8000001	9000000		NaN	null					Not found	0	62.0	39.0	70.0
Chr2:9000001-10000000	2	9000001	10000000		NaN	null					Not found	0	34.0	64.0	66.0
Chr2:10000001-11000000	2	10000001	11000000		NaN	null					Not found	0	45.0	64.0	82.0
Chr2:11000001-12000000	2	11000001	12000000		NaN	null					Not found	0	46.0	93.0	84.0
Chr2:12000001-13000000	2	12000001	13000000		NaN	null					Not found	0	46.0	59.0	116.0
Chr2:13000001-14000000	2	13000001	14000000		NaN	null					Not found	0	53.0	60.0	164.0
Chr2:14000001-15000000	2	14000001	15000000		NaN	null					Not found	0	58.0	143.0	184.0
Chr2:15000001-16000000	2	15000001	16000000		NaN	null					Not found	0	40.0	75.0	75.0
Chr2:16000001-17000000	2	16000001	17000000		NaN	null					Not found	0	22.0	33.0	88.0
Chr2:17000001-18000000	2	17000001	18000000		NaN	null					Not found	0	44.0	31.0	105.0
Chr2:18000001-19000000	2	18000001	19000000		NaN	null					Not found	0	38.0	85.0	81.0
Chr2:19000001-20000000	2	19000001	20000000		NaN	null					Not found	0	54.0	61.0	163.0
Chr2:20000001-21000000	2	20000001	21000000		NaN	null					Not found	0	56.0	78.0	90.0
Chr2:21000001-22000000	2	21000001	22000000		NaN	null					Not found	0	29.0	43.0	79.0
Chr2:22000001-23000000	2	22000001	23000000		NaN	null					Not found	0	28.0	71.0	62.0
Chr2:23000001-24000000	2	23000001	24000000		NaN	null					Not found	0	33.0	71.0	102.0
Chr2:24000001-25000000	2	24000001	25000000		NaN	null					Not found	0	17.0	66.0	95.0
Chr2:25000001-26000000	2	25000001	26000000		NaN	null					Not found	0	28.0	65.0	89.0
Chr2:26000001-27000000	2	26000001	27000000		NaN	null					Not found	0	55.0	106.0	75.0
Chr2:27000001-28000000	2	27000001	28000000		NaN	null					Not found	0	56.0	66.0	105.0
Chr2:28000001-29000000	2	28000001	29000000		NaN	null					Not found	0	42.0	57.0	84.0
Chr2:29000001-30000000	2	29000001	30000000		NaN	null					Not found	0	27.0	42.0	71.0
Chr2:30000001-31000000	2	30000001	31000000		NaN	null					Not found	0	32.0	56.0	53.0
Chr2:31000001-32000000	2	31000001	32000000		NaN	null					Not found	0	45.0	76.0	102.0
Chr2:32000001-33000000	2	32000001	33000000		NaN	null					Not found	0	25.0	81.0	102.0
Chr2:33000001-34000000	2	33000001	34000000		NaN	null					Not found	0	26.0	74.0	75.0
Chr2:34000001-35000000	2	34000001	35000000		NaN	null					Not found	0	18.0	51.0	56.0
Chr2:35000001-36000000	2	35000001	36000000		NaN	null					Not found	0	17.0	65.0	94.0
Chr2:36000001-37000000	2	36000001	37000000		NaN	null					Not found	0	33.0	48.0	79.0
Chr2:37000001-38000000	2	37000001	38000000		NaN	null					Not found	0	70.0	70.0	114.0
Chr2:38000001-39000000	2	38000001	39000000		NaN	null					Not found	0	62.0	79.0	90.0
Chr2:39000001-40000000	2	39000001	40000000		NaN	null					Not found	0	35.0	46.0	51.0
Chr2:40000001-41000000	2	40000001	41000000		NaN	null					Not found	0	30.0	62.0	121.0
Chr2:41000001-42000000	2	41000001	42000000		NaN	null					Not found	0	64.0	52.0	74.0
Chr2:42000001-43000000	2	42000001	43000000		NaN	null					Not found	0	40.0	47.0	124.0
Chr2:43000001-44000000	2	43000001	44000000		NaN	null					Not found	0	45.0	63.0	90.0
Chr2:44000001-45000000	2	44000001	45000000		NaN	null					Not found	0	36.0	34.0	80.0
Chr2:45000001-46000000	2	45000001	46000000		NaN	null					Not found	0	9.0	64.0	67.0
Chr2:46000001-47000000	2	46000001	47000000		NaN	null					Not found	0	32.0	58.0	103.0
Chr2:47000001-48000000	2	47000001	48000000		NaN	null					Not found	0	36.0	57.0	62.0
Chr2:48000001-49000000	2	48000001	49000000		NaN	null					Not found	0	38.0	36.0	71.0
Chr2:49000001-50000000	2	49000001	50000000		NaN	null					Not found	0	20.0	47.0	79.0
Chr2:50000001-51000000	2	50000001	51000000		NaN	null					Not found	0	25.0	51.0	81.0
Chr2:51000001-52000000	2	51000001	52000000		NaN	null					Not found	0	21.0	63.0	81.0
Chr2:52000001-53000000	2	52000001	53000000		NaN	null					Not found	0	34.0	59.0	100.0
Chr2:53000001-54000000	2	53000001	54000000		NaN	null					Not found	0	31.0	81.0	87.0
