Coordinates,P_value,Strain
78068384,6.0135,Nadia
78068391,6.0135,Nadia
78068397,4.9173,WIK
78068398,4.9173,WIK
78068400,6.0135,Nadia
78068421,4.9173,WIK
78068442,6.0135,Nadia
78068442,4.9173,WIK
78068446,6.0135,Nadia
78068446,4.9173,WIK
78068451,4.9173,WIK
78068452,4.9173,WIK
78068465,4.9173,WIK
78043429,5.1877,WIK
78043430,5.1877,WIK
78043431,5.1877,WIK
78047408,4.7934,WIK
78047431,4.7934,WIK
78047435,4.7934,WIK
78047436,4.7934,WIK
78047437,4.7934,WIK
78039666,5.0352,WIK
78025465,5.0352,WIK
76571736,4.6574,WIK
76581705,8.1786,C_B
76581709,8.4606,C_B
76581762,4.6574,WIK
76588057,4.9892,WIK
76588099,4.7673,WIK
76588132,4.7673,WIK
77035595,4.8099,WIK
77080584,5.0666,WIK
77080622,5.0666,WIK
77067743,6.0239,Ekkwill
77067743,4.8099,WIK
77067752,6.0239,Ekkwill
77067752,4.8099,WIK
77067755,6.0239,Ekkwill
77067755,4.8099,WIK
77067788,5.737,Nadia
77108291,4.9173,WIK
77108297,4.9173,WIK
77108330,4.9173,WIK
77145033,5.1432,Nadia
77148500,5.0352,WIK
77148592,5.5338,Nadia
77223679,6.6172,Nadia
77223729,6.6172,Nadia
77223813,5.0352,WIK
77223821,5.4472,Ekkwill
77232836,6.8679,Ekkwill
77232836,4.6439,WIK
77232887,6.8679,Ekkwill
77232888,6.8679,Ekkwill
77232889,6.8679,Ekkwill
77232896,4.6439,WIK
77232897,5.225,Nadia
77232907,6.8679,Ekkwill
77232907,4.6439,WIK
77242159,5.0352,WIK
77630705,5.0482,WIK
77630761,5.0482,WIK
77636574,4.9347,WIK
77636586,4.9347,WIK
77636588,4.9347,WIK
77668012,5.0352,WIK
77684474,4.6477,WIK
77684480,4.6477,WIK
77684482,4.6477,WIK
77684486,4.6477,WIK
77684488,4.6477,WIK
77684489,4.6477,WIK
75973487,5.0314,WIK
76412654,4.902,WIK
76412679,4.902,WIK
76446825,4.8099,WIK
76446835,4.8099,WIK
76446868,4.8099,WIK
77907099,4.9035,WIK
77907107,4.9035,WIK
77910201,5.0352,WIK
77944418,6.0517,Nadia
77971350,6.6344,Nadia
77971350,5.0352,WIK
77971705,5.0352,WIK
77975932,5.3588,WIK
77975933,5.3588,WIK
77976570,5.2487,WIK
77976577,5.2487,WIK
77976587,5.2487,WIK
77976638,5.0352,WIK
77995673,5.0352,WIK
75452232,4.8335,WIK
75452236,4.8335,WIK
77549891,4.3,rDNA
77567278,4.3,rDNA
74545214,4,gap
74545303,4,gap
74549727,4,gap
74562386,4,gap
74566185,4,gap
74593804,4,gap
74598643,4,gap
74599742,4,gap
74601090,4,gap
74670327,4,gap
74685476,4,gap
74699332,4,gap
74701320,4,gap
74708481,4,gap
74718298,4,gap
74830698,4,gap
74833159,4,gap
74835803,4,gap
74837314,4,gap
74841843,4,gap
74844313,4,gap
74850468,4,gap
74851475,4,gap
74871346,4,gap
74894741,4,gap
74917320,4,gap
74920917,4,gap
74924700,4,gap
74929996,4,gap
74933387,4,gap
74936633,4,gap
75076885,4,gap
75092793,4,gap
75102632,4,gap
75113611,4,gap
75122687,4,gap
75126879,4,gap
75129040,4,gap
75136981,4,gap
75164575,4,gap
75165907,4,gap
75199439,4,gap
75227205,4,gap
75255340,4,gap
75291821,4,gap
75300320,4,gap
75309035,4,gap
75309108,4,gap
75318126,4,gap
75322529,4,gap
75327354,4,gap
75334734,4,gap
75336753,4,gap
75350363,4,gap
75352192,4,gap
75384273,4,gap
75400250,4,gap
75405224,4,gap
75659373,4,gap
75660448,4,gap
76837892,4,gap
76839918,4,gap
76897361,4,gap
76899353,4,gap
76900246,4,gap
76901734,4,gap
76902377,4,gap
76917530,4,gap
77278191,4,gap
77320017,4,gap
77432722,4,gap
77446301,4,gap
77461004,4,gap
77464496,4,gap
77468086,4,gap
77483477,4,gap
77486611,4,gap
77497362,4,gap
77547524,4,gap
77549831,4,gap
77716407,4,gap
78003214,4,gap
78007234,4,gap
78010454,4,gap
78026989,4,gap
78033366,4,gap
78035690,4,gap
78043322,4,gap
78049495,4,gap
78070851,4,gap
78076678,4,gap
