Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	21d_egfp	25d_egfp	28d_egfp
Chr1:1-1000000	1	1	1000000		null					Not found	0	110.0	104.0	212.0
Chr1:1000001-2000000	1	1000001	2000000		null					Not found	0	54.0	39.0	98.0
Chr1:2000001-3000000	1	2000001	3000000		null					Not found	0	48.0	29.0	118.0
Chr1:3000001-4000000	1	3000001	4000000		null					Not found	0	31.0	94.0	118.0
Chr1:4000001-5000000	1	4000001	5000000		null					Not found	0	50.0	76.0	111.0
Chr1:5000001-6000000	1	5000001	6000000		null					Not found	0	23.0	68.0	100.0
Chr1:6000001-7000000	1	6000001	7000000		null					Not found	0	49.0	101.0	157.0
Chr1:7000001-8000000	1	7000001	8000000		null					Not found	0	19.0	102.0	82.0
Chr1:8000001-9000000	1	8000001	9000000		null					Not found	0	44.0	33.0	60.0
Chr1:9000001-10000000	1	9000001	10000000		null					Not found	0	65.0	45.0	98.0
Chr1:10000001-11000000	1	10000001	11000000		null					Not found	0	20.0	81.0	128.0
Chr1:11000001-12000000	1	11000001	12000000		null					Not found	0	29.0	55.0	59.0
Chr1:12000001-13000000	1	12000001	13000000		null					Not found	0	63.0	100.0	63.0
Chr1:13000001-14000000	1	13000001	14000000		null					Not found	0	30.0	36.0	97.0
Chr1:14000001-15000000	1	14000001	15000000		null					Not found	0	29.0	54.0	58.0
Chr1:15000001-16000000	1	15000001	16000000		null					Not found	0	28.0	52.0	67.0
Chr1:16000001-17000000	1	16000001	17000000		null					Not found	0	30.0	41.0	44.0
Chr1:17000001-18000000	1	17000001	18000000		null					Not found	0	16.0	68.0	90.0
Chr1:18000001-19000000	1	18000001	19000000		null					Not found	0	24.0	83.0	79.0
Chr1:19000001-20000000	1	19000001	20000000		null					Not found	0	52.0	51.0	70.0
Chr1:20000001-21000000	1	20000001	21000000		null					Not found	0	35.0	62.0	91.0
Chr1:21000001-22000000	1	21000001	22000000		null					Not found	0	16.0	56.0	104.0
Chr1:22000001-23000000	1	22000001	23000000		null					Not found	0	46.0	42.0	51.0
Chr1:23000001-24000000	1	23000001	24000000		null					Not found	0	33.0	82.0	125.0
Chr1:24000001-25000000	1	24000001	25000000		null					Not found	0	75.0	68.0	103.0
Chr1:25000001-26000000	1	25000001	26000000		null					Not found	0	32.0	59.0	63.0
Chr1:26000001-27000000	1	26000001	27000000		null					Not found	0	74.0	109.0	62.0
Chr1:27000001-28000000	1	27000001	28000000		null					Not found	0	88.0	125.0	122.0
Chr1:28000001-29000000	1	28000001	29000000		null					Not found	0	76.0	97.0	141.0
